name,description
Trump Grill,Traditional American lunch restaurant in the Trump Tower also offering Sunday brunch.
Judge Roy Bean Public House,"Watering hole with a laid-back vibe offering gourmet burgers & bar fare, plus draft brews & TVs."
The Jazz Club at Aman New York,"Intimate, upscale jazz haven with classy decor; attracts affluent, cultured clientele."
Felice 56,"Cozy, elegant Italian bar; lively vibe; jazz music; professional clientele."
45 Wine & Whiskey Bar,"Elegant, intimate bar with jazz music and sophisticated, professional clientele."
Nerolab Caffè,"cozy atmosphere, eclectic vibe, jazz music, diverse patrons."
Goodman’s Bar,"Intimate, cozy, jazz-infused, diverse crowd, Brooklyn-themed, warm wood decor."
Wkj,"Chic, intimate NYC bar; relaxed ambiance, jazz tunes, diverse clientele."
Serafina Italian Restaurant Osteria,"Casual, intimate Roman trattoria serving rustic Italian faves, including housemade pasta."
Flip,"lively dive bar, retro decor, eclectic tunes, young crowd."
Anassa Taverna,"Lively Greek eatery; vibrant, trendy ambiance; Mediterranean tunes; diverse crowd."
Studio 59,"Chic, vibrant, upscale bar; trendy decor, lively DJ beats, diverse crowd."
ARORA - L'art Du Cocktail,"Chic, artsy atmosphere; eclectic music; diverse, sophisticated crowd; exquisite cocktails."
Side Door,"Cozy, intimate vibe, eclectic music, diverse crowd, artsy atmosphere."
City Hops Beer and Wine Bar,"Cozy atmosphere, lively vibe, eclectic music, artisanal drinks, diverse crowd."
Subway Inn,"Dating back to 1937, this dive bar is in a new space with its original, restored neon sign & booths."
The Jeffrey Craft Beer & Bites,"Craft coffee, cocktails & brews are offered at this cool, rustic bar with sandwiches & snacks."
Festival Cafe,"Glam hub with outdoor seats offering pastries, light fare & a seasonal dinner menu, plus cocktails."
Vero Social,"Trendy, vibrant atmosphere, eclectic music mix, diverse young professionals."
Merchants Cigar Bar,Cigars & cocktails are accompanied by an American food menu at this clubby basement lounge.
Felice 64,"Stylish wine bar supplying Italian vintages & fare in a rustic, date-friendly setting."
The Spotted Dog,"Lively tavern, vintage decor; indie music; diverse, friendly crowd."
Primal Cut Steakhouse,"Upscale steakhouse inside Sapphire Gentlemen’s Club serving dry-aged prime beef, pastas & seafood."
Treadwell Park,"Vibrant, laid-back bar; craft beers; lively atmosphere; eclectic crowd; indie music."
Baker Street Irregulars,"Cozy pub, Sherlock-themed, vintage rock, lively crowd, mixed ages."
India Palace,"Cozy, intimate; Bollywood music; Indian cuisine; diverse, friendly crowd."
Shaken Not Stirred,"Elegant cocktail bar, smooth jazz tunes, sophisticated crowd, intimate, refined atmosphere."
Hendrickson's,"Sophisticated ambiance, jazz tunes, diverse crowd, upscale, cozy setting."
The Alvin Public House,"Cozy, friendly bar with chill vibes, diverse music, and eclectic crowd."
Drunken Chicken | Soju & Bar | Fried Chicken,"Casual chain serving cooked-to-order Korean fried chicken, plus other traditional eats."
Mala Kitchen,"Trendy, cozy, Asian-fusion, vibrant atmosphere, eclectic music, diverse crowd."
Botte Bar,"Cozy spot whipping up traditional Roman specialties, plus wines, cocktails, and patio seating."
Sanfords,This eatery offers twists on New American comfort fare in a contemporary updated-diner setting.
Break Bar And Billiards,Large sports bar with TVs for watching the game plus numerous billiards & ping-pong tables.
Broadway Station,"Chic, lively bar with jazz music, diverse, professional crowd."
Las Catrinas mexican bar & eatery,"Warm, rustic Mexican restaurant serving Tulum-inspired cuisine & drinks plus sidewalk seating."
Daly's Pub,"Classic Irish pub with a snug courtyard featuring a menu with familiar fare, plus local beer."
Gata Golosa Astoria,"Relaxed Colombian eatery offering traditional rotisserie chicken, seafood, empanadas & coffee."
Gilbey's,"Cozy, relaxed bar with jazz music, appealing to diverse patrons."
stuff'd,"Lively bar with eclectic decor, indie music, young professional crowd."
Mc Loughlin Astoria Bar,"Lively Irish bar with friendly vibe, classic rock music, diverse patrons."
Bad Habits,"Lively, intimate bar with diverse crowd, eclectic music, cozy atmosphere."
Sek'end Sun,"Rustic-chic resto-bar with diverse comfort fare, original cocktails & beer plus a back patio."
Icon Bar,"Festive gay bar featuring DJs, go-go dancers & drag shows, plus movie & game nights."
Diamond Dogs,"Intimate NYC bar, retro rock vibes, dim lighting, eclectic crowd, classic hits."
The Trestle,"Hip bridge-&-tunnel-themed restaurant serving American fare, brunch, craft beers & cocktails."
Astoria Bier & Cheese,"Resource for global cheeses, charcuterie & a broad selection of craft beers in bottles & on draft."
VITE vinosteria,"Rustic-chic neighborhood joint with homestyle Italian fare, a variety of wines & a weekend brunch."
3308 Eats N Drinks,"Cozy bar, eclectic vibe, live jazz, diverse crowd, delicious cocktails, casual."
Jaguar cafe bistro bar,"Trendy atmosphere; vibrant vibe; eclectic music; diverse, young professional crowd."
Heart of Gold,"Lively dive bar with rock music, friendly vibe, eclectic crowd."
Hutch Astoria,"Eclectic vibe, cozy atmosphere, live jazz, diverse crowd, great cocktails."
DiWine Natural Wine Bar & Restaurant,"Wine bar with gourmet sharing plates, pizzas, charcuterie & cheese trays & infused cocktails."
La Vecina,"Energizing Latin beats, vibrant ambiance, young professionals, dance-fueled evenings."
The Local Bar,"Cozy ambiance, friendly vibe, indie music, young professionals, relaxed crowd."
Yes Mama Wine Bar,"Charming, cozy atmosphere; eclectic wine selection; relaxed vibe; diverse, youthful crowd."
The Quays Pub,"Cozy, down-to-earth Irish pub with domestic & imported beers & periodic live music."
Mrki’s Place,"Cozy, eclectic, jazz tunes, vintage decor, relaxed crowd, artsy, intimate."
The Shillelagh Tavern,Easygoing neighborhood watering hole featuring live music most nights & TVs for sports.
Dillingers Pub & Grill,"Neighborhood saloon with pub grub & American entrees, plus brunch & happy hour deals."
Cafe Renis,"Cozy, vibrant hangout with jazz music, diverse crowd, friendly atmosphere."
48 Street Deli & Grocery,"Cozy deli-bar hybrid with chill vibe, eclectic music, diverse patrons."
NYC Gentlemen's Club,"Upscale, vibrant atmosphere; diverse clientele; lively music; sophisticated, elegant vibe."
Rosewood Theater,"Speakeasy ambiance, burlesque entertainment, jazz tunes, intimate, diverse, sophisticated patrons."
YOTEL New York Times Square,"Trendy, modern bar with eclectic music, diverse crowd, vibrant atmosphere."
Pio Pio 8,Casual Peruvian restaurant specializing in rotisserie chicken with homemade sauce.
Mr Biggs,"Casual hangout offering beer, wings & other pub fare plus karaoke from a corner location."
The Terrace,"Trendy rooftop bar, relaxed vibe, eclectic music, young professional crowd."
Social Drink & Food,Colorful hotel patio serving a global array of small plates & cocktails amid a convivial vibe.
The Green Room 42,"Trendy cabaret bar, vibrant atmosphere, live performances, diverse crowd, eclectic music."
Green Fig,Bright YOTEL spot with plants & wood floors for New American cuisine from breakfast to late-night.
Walter's Cottage,"Cozy, rustic bar, eclectic music, warm vibe, attracts diverse, friendly crowd."
Lucky Cheng's Drag Queen Show Place,"American fare, drag-queen shows & a cabaret atmosphere make up this long-running NYC experience."
Rudy's Bar & Grill,"A neighborhood staple since 1933, this tavern is known for its no-frills atmosphere & free hot dogs."
Chez Josephine,"French staples pair with piano music at this opulent restaurant, a tribute to Josephine Baker."
West Bank Cafe,"Warm New American eatery with a bar & basement cabaret, known for drawing theatergoers & performers."
Producers Club Theaters,Off-Off-Broadway theater-for-rent with a bar/lounge & 5 spaces that host plays & film screenings.
Dalton's Bar & Grill,Straightforward sports bar near Port Authority offering pub fare along with plenty of beer & TVs.
Mama Mia,"vibrant, trendy bar; lively atmosphere; mixed music; diverse crowd."
Wine Escape,"This brick-walled wine bar with a menu of charcuterie, cheese & tapas offers an intimate atmosphere."
Don Giovanni Ristorante,"Charming NYC bar, cozy atmosphere, jazz tunes, vibrant crowd, Italian cuisine."
Bea,"Intimate, brick-walled eatery & bar with handcrafted cocktails, eclectic small plates & a courtyard."
La Pulpería 44th HK,"Latin American fare in rustic-chic digs with Mexican tiles, repurposed Brazilian wood & marble bar."
At Nine Restaurant & Bar,"Intimate, casual restaurant specializing in authentic Thai cuisine with a full bar."
The Brazen Tavern,2-floor tavern for comforting food & drink options in a traditional wood-walled interior.
NYC Huskers,"Lively, sports-centric NYC bar; Nebraska fan haven; diverse patrons; energetic vibes."
5 Napkin Burger,"Inviting atmosphere, casual vibe, diverse crowd, eclectic music, gourmet burgers."
Patron Mexican Grill,"Cozy Mexican bar, lively vibe, Latin music, diverse crowd, great margaritas."
The Purple Tongue Wine Bar,"Intimate, chic, jazz-infused, dimly-lit; attracts sophisticated, wine-loving professionals."
Ari Sushi,"Trendy, vibrant, Japanese sushi bar with upbeat music; diverse young professionals."
NXT ROOM Mixology Bar,"Chic, eclectic vibe; ambient beats; expert cocktails; diverse, trendy crowd."
Rose Room Speakeasy,Cozy speakeasy; intimate vibe; jazz music; professional crowd; classic cocktails.
The Friki Tiki,"Tropical vibes, eclectic music, diverse crowd, playful decor."
Serafina Italian Restaurant In the Sky | Pod Hotel,"Chic rooftop, vibrant vibe, Italian cuisine, trendy crowd, lively music."
Olde City Cheesesteaks & Brew,"Cozy bar with classic rock, diverse crowd, relaxed yet lively atmosphere."
Local 42 Bar,"Cozy, lively, indie rock, Brooklyn locals, casual, artsy crowd."
India At Times Square,"Vibrant NYC bar with Indian ambiance, energetic vibe, Bollywood beats, diverse crowd."
Ego Pub Crawl Inc.,"Lively, retro-themed bar, eclectic music, diverse patrons, party atmosphere, vibrant."
Birdland Jazz Club,"Classic Theater District jazz club with roomy red environs, a large bar & Cajun-influenced food."
Flashdancers NYC,"Chic club ambiance, energetic vibe, top 40 music, diverse, young professionals."
Gyu-Kaku Japanese BBQ,"Casual, lively atmosphere, upbeat music, young crowd, authentic Japanese barbecue."
Smith's Bar,Live music & craft beers update this vintage neighborhood bar & grill near Times Square.
Le Rivage,"Longtime French bistro serving classic fare from fixed-price menus in an old-world, rustic setting."
Playwright Celtic Pub,Sprawling Irish pub serving beers & pub grub over 4 TV-equipped floors & a roof deck.
The Mean Fiddler,Boisterous Irish sports bar with DJs at night & a menu of American & Irish pub grub.
Beer Culture,"Snug, brick-walled bottle shop & bar with a laid-back vibe, with panini, bratwursts & other eats."
John's Pizzeria of Times Square,Famous 1997 eatery serving trademark thin-crust pizza in a soaring Times Square former church.
Bar Centrale,Exclusive bar/lounge in a converted apartment that often plays host to Broadway stars post-show.
Iron Bar & Lounge,"Modern, energetic vibe; diverse crowd; techno music; vibrant, stylish atmosphere."
The Stinger Cocktail Bar & Kitchen,"Polished space for high-end cocktails, punch bowls & shareable plates at the InterContinental hotel."
Sony Hall,"Sony Corporation venue for diverse live music shows featuring dining, a full bar & high-tech sound."
Playwright Tavern Act II,"Spacious 4-story Irish pub with a rooftop bar offering traditional eats, draft beer & many TVs."
Secret Room,"Chic, intimate ambiance; eclectic music; attracts trendy, diverse crowd."
Carro,"Trendy, Latin-inspired bar with vibrant atmosphere, salsa beats, diverse crowd."
S'Aimer NYC,"Upscale, vibrant, diverse; European-inspired, eclectic music; attracts trendy urbanites."
Fashion Bar,"Casual choice serving burgers, meat dishes, pasta & sandwiches, plus weekend brunch & happy hours."
BarDough,"Easygoing spot for customizable pizza with gluten-free offerings, calzones & cocktails."
O'Casey's Times Square,"Cozy Irish pub, lively ambiance, classic rock, diverse crowd, Times Square."
Denise's Legs,"Chic, lively bar with eclectic beats, mixed drinks, young professionals."
The Woo Woo,"intimate, vibrant, eclectic music, youthful, social, retro-inspired."
Whiskey Bar,"Cozy, intimate; jazz tunes; dim lighting; mature, sophisticated crowd."
Le Parisien Bakery,"Chic, intimate French café; chilled vibes, soft jazz, mixed-age crowd."
The View Restaurant & Lounge,"Rotating skyline views, upscale ambiance, eclectic music, mixed-aged professional crowd."
Trattoria Trecolori,Bustling Italian spot serving classic red-sauce dishes in a warm setting with a bar.
Havana Central Times Square,"Boisterous restaurant featuring Cuban fare, cocktails, and live music in a retro-Havana setting."
R Lounge,Times Square glows through the floor-to-ceiling windows of this upscale hotel bar with gourmet fare.
Bond 45 NY,"Wide-ranging Italian menu including steak, seafood & an antipasti bar served in a sprawling space."
